App ID,Name,Image URL,Minutes of Playtime,Main,Main + Extra,Completionist,Achievements completed, Achievements total, Percentage
714010,Aimlabs,http://media.steampowered.com/steamcommunity/public/images/apps/714010/15347de11efc127539c388e585af9e92d10d5189.jpg,96,5.8,0.0,38.95,6,100,6.0
412020,Metro Exodus,http://media.steampowered.com/steamcommunity/public/images/apps/412020/f9863ed0ffc717b130744488f088ae95fe6e9bd8.jpg,374,15.7,23.9,39.64,4,68,5.88
1449560,Metro Exodus Enhanced Edition,http://media.steampowered.com/steamcommunity/public/images/apps/1449560/f9863ed0ffc717b130744488f088ae95fe6e9bd8.jpg,0,15.7,23.9,39.64,0,68,0.0
931690,Himno,http://media.steampowered.com/steamcommunity/public/images/apps/931690/f39d18bb03e8e0ce5aa47ac37602f095ff512d08.jpg,0,0.6,1.29,2.11,0,11,0.0
730,Counter-Strike 2,http://media.steampowered.com/steamcommunity/public/images/apps/730/8dbc71957312bbd3baea65848b545be9eae2a355.jpg,518,91.36,355.34,777.97,1,1,100.0
960090,Bloons TD 6,http://media.steampowered.com/steamcommunity/public/images/apps/960090/c5f0b67c8beeb6be99abe2ad8db2cada5d5ccff0.jpg,7835,36.47,117.86,578.72,63,150,42.0
963000,Frog Detective 1: The Haunted Island,http://media.steampowered.com/steamcommunity/public/images/apps/963000/4e541e06cc4c3cdb6dd1918fe6cfa37ea30b48f6.jpg,0,0.74,0.78,0.78,0,6,0.0
787980,4D Minesweeper,http://media.steampowered.com/steamcommunity/public/images/apps/787980/709aa124fe99de657d7d624e250ce45ae3505665.jpg,199,5.0,0.0,0.0,NA,NA,NA
35140,Batman: Arkham Asylum GOTY Edition,http://media.steampowered.com/steamcommunity/public/images/apps/35140/e52f91ecb0d3f20263e96fe188de1bcc8c91643e.jpg,0,11,15.5,25,0,47,0.0
200260,Batman: Arkham City GOTY,http://media.steampowered.com/steamcommunity/public/images/apps/200260/746ecf3ce44b2525eb7ad643e76a3b60913d2662.jpg,0,13.49,22.64,58.01,0,64,0.0
208650,Batman: Arkham Knight,http://media.steampowered.com/steamcommunity/public/images/apps/208650/f6c2ce13796844750dfbd01685fb009eeac4bf70.jpg,0,16.98,31.37,50.95,0,113,0.0
977400,Cell to Singularity - Evolution Never Ends,http://media.steampowered.com/steamcommunity/public/images/apps/977400/130a3091d6e6ae68e7204b21bfa2b4fec02c3d8d.jpg,149,8.33,67.91,165.48,7,19,36.84
981590,VZX Player,http://media.steampowered.com/steamcommunity/public/images/apps/981590/8c160bacc16dd5e5d92c8c34f3b608c093e2d8d8.jpg,0,NA,NA,NA,NA,NA,NA
1009850,OVR Advanced Settings,http://media.steampowered.com/steamcommunity/public/images/apps/1009850/fa8eecdff0e044b5aad401e027fcdc53e8282690.jpg,0,NA,NA,NA,NA,NA,NA
1025410,Metamorphosis,http://media.steampowered.com/steamcommunity/public/images/apps/1025410/996fc1ff2ed8bde5a8e1aadb2b2c9e7926f2932a.jpg,75,3.01,3.87,4.98,7,26,26.92
1046930,Dota Underlords,http://media.steampowered.com/steamcommunity/public/images/apps/1046930/1f6f64144e8cc371c5382660e48998dfbe0a708e.jpg,0,63.01,110.28,278.79,NA,NA,NA
1047220,Frog Detective 2: The Case of the Invisible Wizard,http://media.steampowered.com/steamcommunity/public/images/apps/1047220/3e137e26a61755e5c3ac463bb8044a6fb69b9f0b.jpg,0,1.12,1.29,1.54,0,6,0.0
1049410,Superliminal,http://media.steampowered.com/steamcommunity/public/images/apps/1049410/94dafc4a3469aff1c47c5f03f0114e2db2e99e9a.jpg,126,2.64,3.77,10.42,8,27,29.63
1056640,Phantasy Star Online 2 New Genesis,http://media.steampowered.com/steamcommunity/public/images/apps/1056640/c54fa2778a5ebfa0d51e240f6782eb4af73e5b63.jpg,0,19.14,46.45,112.71,0,45,0.0
1057090,Ori and the Will of the Wisps,http://media.steampowered.com/steamcommunity/public/images/apps/1057090/ea50b151bb1e2c39e7bdd3ff4f8cc5e8738d6983.jpg,817,11.96,15.58,18.12,29,37,78.38
1091500,Cyberpunk 2077,http://media.steampowered.com/steamcommunity/public/images/apps/1091500/15ba5f5437473a1b4d628b3b87223e84f4cfdf38.jpg,5577,25.69,62.62,106.49,44,57,77.19
1104380,The Room VR: A Dark Matter,http://media.steampowered.com/steamcommunity/public/images/apps/1104380/634cce4f22856ec19c752346b68052a398ed81b5.jpg,83,3.89,4.15,4.19,2,6,33.33
